نوع البطولة,الفريق الاول,الفريق الثاني,ميعاد المباراة,النتيجه
دوري أبطال أوروبا,ريال مدريد,أرسنال,'21:00','1 - 2'
دوري أبطال أوروبا,إنتر ميلان,بايرن ميونيخ,'21:00','2 - 2'
كأس رابطة الأندية,الجونة,مودرن سبورت,'16:00','0 - 0'
كأس رابطة الأندية,سموحة,الزمالك,'16:00','0 - 1'
كأس رابطة الأندية,الإسماعيلي,الاتحاد السكندري,'19:00','2 - 0'
كأس رابطة الأندية,حرس الحدود,بيراميدز,'19:00','2 - 0'
الدوري الإنجليزي,نيوكاسل,كريستال بالاس,'20:30','5 - 0'
